Y_M,Country,Cases,YMD
2010-5,Turkey,0,2010-05-01
2010-5,Viet Nam,0,2010-05-01
2010-6,Afghanistan,1,2010-06-01
2010-6,Armenia,0,2010-06-01
2010-6,Azerbaijan,0,2010-06-01
2010-6,Bahrain,0,2010-06-01
2010-6,Bangladesh,27,2010-06-01
2010-6,Bhutan,0,2010-06-01
2010-6,Cambodia,14,2010-06-01
2010-6,China,102,2010-06-01
2010-6,Georgia,0,2010-06-01
2010-6,India,120,2010-06-01
2010-6,Indonesia,2,2010-06-01
2010-6,Iran (Islamic Republic of),0,2010-06-01
2010-6,Iraq,0,2010-06-01
2010-6,Israel,0,2010-06-01
2010-6,Japan,24,2010-06-01
2010-6,Jordan,0,2010-06-01
2010-6,Kazakhstan,0,2010-06-01
2010-6,Kyrgyzstan,0,2010-06-01
2010-6,Lao People's Democratic Republic,0,2010-06-01
2010-6,Malaysia,2,2010-06-01
2010-6,Mongolia,0,2010-06-01
2010-6,Nepal,0,2010-06-01
2010-6,Oman,0,2010-06-01
