Y_M,Country,Cases,YMD
2009-2,Iran (Islamic Republic of),0,2009-02-01
2009-2,Iraq,0,2009-02-01
2009-2,Ireland,0,2009-02-01
2009-2,Israel,0,2009-02-01
2009-2,Italy,0,2009-02-01
2009-2,Jamaica,0,2009-02-01
2009-2,Japan,0,2009-02-01
2009-2,Jordan,0,2009-02-01
2009-2,Kazakhstan,0,2009-02-01
2009-2,Kenya,0,2009-02-01
2009-2,Kyrgyzstan,0,2009-02-01
2009-2,Lao People's Democratic Republic,0,2009-02-01
2009-2,Latvia,0,2009-02-01
2009-2,Lithuania,0,2009-02-01
2009-2,Luxembourg,0,2009-02-01
2009-2,Madagascar,0,2009-02-01
2009-2,Malaysia,0,2009-02-01
2009-2,Mali,0,2009-02-01
2009-2,Malta,0,2009-02-01
2009-2,Martinique,0,2009-02-01
2009-2,Mauritania,0,2009-02-01
2009-2,Mauritius,0,2009-02-01
2009-2,Mexico,4,2009-02-01
2009-2,Mongolia,0,2009-02-01
2009-2,Morocco,0,2009-02-01
2009-2,Mozambique,0,2009-02-01
2009-2,Netherlands,0,2009-02-01
2009-2,New Caledonia,0,2009-02-01
2009-2,New Zealand,0,2009-02-01
2009-2,Nicaragua,0,2009-02-01
2009-2,Niger,0,2009-02-01
2009-2,Nigeria,0,2009-02-01
2009-2,Norway,0,2009-02-01
2009-2,Oman,0,2009-02-01
2009-2,Pakistan,0,2009-02-01
2009-2,Panama,0,2009-02-01
2009-2,Paraguay,0,2009-02-01
2009-2,Peru,0,2009-02-01
2009-2,Philippines,0,2009-02-01
2009-2,Poland,0,2009-02-01
2009-2,Portugal,0,2009-02-01
2009-2,Republic of Korea,0,2009-02-01
2009-2,Republic of Moldova,0,2009-02-01
2009-2,Romania,0,2009-02-01
2009-2,Russian Federation,0,2009-02-01
2009-2,Rwanda,0,2009-02-01
2009-2,Senegal,0,2009-02-01
2009-2,Serbia,0,2009-02-01
2009-2,Sierra Leone,0,2009-02-01
2009-2,Singapore,0,2009-02-01
2009-2,Slovakia,0,2009-02-01
2009-2,Slovenia,0,2009-02-01
2009-2,South Africa,0,2009-02-01
2009-2,Spain,0,2009-02-01
2009-2,Sri Lanka,0,2009-02-01
2009-2,Sudan,0,2009-02-01
2009-2,Suriname,0,2009-02-01
2009-2,Sweden,0,2009-02-01
2009-2,Switzerland,0,2009-02-01
2009-2,Thailand,0,2009-02-01
2009-2,The former Yugoslav Republic of Macedonia,0,2009-02-01
2009-2,Togo,0,2009-02-01
2009-2,Tunisia,0,2009-02-01
2009-2,Turkey,0,2009-02-01
2009-2,Uganda,0,2009-02-01
2009-2,Ukraine,0,2009-02-01
2009-2,United Kingdom of Great Britain and Northern Ireland,0,2009-02-01
2009-2,United Republic of Tanzania,0,2009-02-01
2009-2,United States of America,0,2009-02-01
2009-2,Uruguay,0,2009-02-01
2009-2,Viet Nam,0,2009-02-01
2009-2,Zambia,0,2009-02-01
2009-3,Afghanistan,0,2009-03-01
2009-3,Albania,0,2009-03-01
2009-3,Algeria,0,2009-03-01
2009-3,Angola,0,2009-03-01
2009-3,Argentina,0,2009-03-01
2009-3,Armenia,0,2009-03-01
2009-3,Australia,0,2009-03-01
2009-3,Austria,0,2009-03-01
2009-3,Azerbaijan,0,2009-03-01
2009-3,Bangladesh,0,2009-03-01
2009-3,Belarus,0,2009-03-01
2009-3,Belgium,0,2009-03-01
2009-3,Bolivia,0,2009-03-01
2009-3,Bosnia and Herzegovina,0,2009-03-01
2009-3,Brazil,0,2009-03-01
2009-3,Bulgaria,0,2009-03-01
2009-3,Burkina Faso,0,2009-03-01
2009-3,C�te d'Ivoire,0,2009-03-01
2009-3,Cambodia,0,2009-03-01
2009-3,Cameroon,0,2009-03-01
2009-3,Canada,0,2009-03-01
2009-3,Cape Verde,0,2009-03-01
2009-3,Central African Republic,0,2009-03-01
2009-3,Chile,0,2009-03-01
2009-3,China,0,2009-03-01
2009-3,Colombia,0,2009-03-01
2009-3,Costa Rica,0,2009-03-01
2009-3,Croatia,0,2009-03-01
2009-3,Cuba,0,2009-03-01
2009-3,Czech Republic,0,2009-03-01
2009-3,Democratic Republic of the Congo,0,2009-03-01
2009-3,Denmark,0,2009-03-01
2009-3,Dominican Republic,0,2009-03-01
2009-3,Ecuador,0,2009-03-01
2009-3,Egypt,0,2009-03-01
2009-3,El Salvador,0,2009-03-01
2009-3,Estonia,0,2009-03-01
2009-3,Ethiopia,0,2009-03-01
2009-3,Fiji,0,2009-03-01
2009-3,Finland,0,2009-03-01
2009-3,France,0,2009-03-01
2009-3,French Guiana,0,2009-03-01
2009-3,Gambia,0,2009-03-01
2009-3,Georgia,0,2009-03-01
2009-3,Germany,0,2009-03-01
2009-3,Ghana,0,2009-03-01
2009-3,Greece,0,2009-03-01
2009-3,Guadeloupe,0,2009-03-01
2009-3,Guatemala,0,2009-03-01
2009-3,Guinea,0,2009-03-01
2009-3,Guinea-Bissau,0,2009-03-01
2009-3,Honduras,0,2009-03-01
